date,channels of interest,detect channel,experiment folder,number of GUV,weighted colocalization ch0 ch1,unweighted colocalization ch0 ch1,new punctate ch0,new punctate ch1,weighted colocalization ch0 ch2,unweighted colocalization ch0 ch2,weighted colocalization ch1 ch2,unweighted colocalization ch1 ch2,weighted colocalization ch0 ch1 ch2,unweighted colocalization ch0 ch1 ch2,new punctate ch2
02-14-2022,2,2,data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM dark ESCRT-II_400 nM Atto 488 CHMP6,163.0,0.8054794520547945,0.8623561384851707,0.9263803680981596,0.9447852760736196,,,,,,,
02-14-2022,2,2,data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6,175.0,0.090497737556561,0.0959232613908872,0.1142857142857142,0.7942857142857143,,,,,,,
02-14-2022,2,2,data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II,129.0,0.0,,0.0,0.0,,,,,,,
02-16-2022,2,2,data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/50 nM Cy3 ESCRT-I,126.0,0.0,0.0,0.0,0.0396825396825396,,,,,,,
02-16-2022,2,2,data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I,132.0,0.6395348837209303,0.7337164750957853,0.7954545454545454,0.8712121212121212,,,,,,,
02-17-2022,2,2,data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II,65.0,0.0,,0.0,0.0,,,,,,,
02-17-2022,2,2,data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II,95.0,0.8526315789473684,0.8860759493670886,0.7789473684210526,0.8315789473684211,,,,,,,
02-17-2022,2,2,data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6,206.0,0.8308457711442786,0.8185897435897437,0.5970873786407767,0.5970873786407767,,,,,,,
02-17-2022,2,2,data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6,124.0,0.079136690647482,0.1061926605504587,0.1693548387096774,0.8709677419354839,,,,,,,
02-17-2022,2,2,data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II,53.0,0.0,,0.0,0.0,,,,,,,
02-18-2022,2,2,data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b,125.0,0.0,,0.0,0.0,,,,,,,
02-18-2022,2,2,data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ALG-2_100 nM Cy3 ALIX_Strep,104.0,0.3424764890282131,0.3308110546232717,0.7115384615384616,0.8557692307692307,,,,,,,
02-18-2022,2,2,data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II,72.0,0.0,,0.0,0.0,,,,,,,
02-18-2022,2,2,data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG-2 100 nM Cy3 ALIX,100.0,0.0593607305936073,0.0244873621835997,0.09,0.69,,,,,,,
02-18-2022,2,2,data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II,144.0,0.8403361344537815,0.844632768361582,0.7708333333333334,0.8194444444444444,,,,,,,
02-18-2022,2,2,data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6,116.0,0.8253968253968254,0.8402777777777777,0.7068965517241379,0.6810344827586207,,,,,,,
02-18-2022,2,2,data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6,91.0,0.1160220994475138,0.1459839357429719,0.2197802197802197,0.912087912087912,,,,,,,
02-18-2022,2,2,data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II,106.0,0.0,0.0,0.0094339622641509,0.0,,,,,,,
02-19-2022,2,2,data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Att0 488 CHMP4b,116.0,0.0,0.0,0.0086206896551724,0.0172413793103448,,,,,,,
02-19-2022,2,2,data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM Att0 488 CHMP4b,140.0,0.4786235662148071,0.4172399511305114,0.6142857142857143,0.7857142857142857,,,,,,,
02-19-2022,2,2,data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b,151.0,0.0,,0.0,0.0,,,,,,,
02-19-2022,2,2,data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Atto ALG2_100 nM Cy3 ALIX,119.0,0.3472065991751031,0.4249993929277126,0.9747899159663864,0.907563025210084,,,,,,,
02-19-2022,2,2,data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b,127.0,0.0,,0.0,0.0,,,,,,,
02-19-2022,2,2,data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM Atto CHMP4b,120.0,0.2632898696088265,0.2817781085255367,0.7166666666666667,0.925,,,,,,,
02-20-2022,2,2,data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b,182.0,0.0,0.0,0.09340659340659341,0.0,,,,,,,
02-20-2022,2,2,data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ALG2_100 nM Cy3 ALIX,170.0,0.1606203267792855,0.15879931114125162,0.7705882352941177,0.9529411764705882,,,,,,,
02-20-2022,2,2,data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b,211.0,0.0,0.0,0.004739336492890996,0.0,,,,,,,
02-20-2022,2,2,data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b,185.0,0.26278659611992944,0.21965004068227093,0.9081081081081082,0.9459459459459459,,,,,,,
02-20-2022,3,1,data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b,,,,,,,,,,,,
02-21-2022,3,1,data/02-21-2022/70_ DOPC_30_ DOPS/200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b,,,,,,,,,,,,
02-21-2022,3,1,data/02-21-2022/70_ DOPC_30_ DOPS/Repeat/200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b,,,,,,,,,,,,
02-27-2022,2,2,data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2,,,,,,,,,,,,
02-27-2022,2,2,data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX_1,,,,,,,,,,,,
02-27-2022,2,2,data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3,,,,,,,,,,,,
02-27-2022,2,2,data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1,,,,,,,,,,,,
02-27-2022,2,2,data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_2,,,,,,,,,,,,
02-27-2022,2,2,data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_3,,,,,,,,,,,,
02-28-2022,2,2,data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1,,,,,,,,,,,,
02-28-2022,2,2,data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_2,,,,,,,,,,,,
02-28-2022,2,2,data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_3,,,,,,,,,,,,
02-28-2022,2,2,data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_1,,,,,,,,,,,,
02-28-2022,2,2,data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_2,,,,,,,,,,,,
02-28-2022,2,2,data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3,,,,,,,,,,,,
03-01-2022,2,2,data/03-01-2022/49.5_ DOPC_50_ DOPS_0.5_ Atto 488/200 nM Atto 488 ALG-2,,,,,,,,,,,,
03-01-2022,2,2,data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1,,,,,,,,,,,,
03-01-2022,2,2,data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_2,,,,,,,,,,,,
03-01-2022,2,2,data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_3,,,,,,,,,,,,
03-01-2022,2,2,data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1,,,,,,,,,,,,
03-01-2022,2,2,data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_2,,,,,,,,,,,,
03-01-2022,2,2,data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_3,,,,,,,,,,,,
03-02-2022,2,2,data/03-02-2022/49.5_ DOPC_50_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2,,,,,,,,,,,,
03-02-2022,2,2,data/03-02-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2,,,,,,,,,,,,
03-03-2022,2,2,data/03-03-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ALG2_10 nM Cy3 FL ALIX,,,,,,,,,,,,
03-03-2022,2,2,data/03-03-2022/89.5_ DOPC_10_DOPS_0.5_ Atto/200 nM Atto 488 ALG2,,,,,,,,,,,,
03-11-2022,2,2,data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/69.5% DOPC_30% DOPS_0.5% Atto/200 nM Atto 488 ALG-2_100 nM Cy3 ALIX TEV Strep,,,,,,,,,,,,
03-11-2022,2,2,data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep,,,,,,,,,,,,
03-11-2022,2,2,data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat,,,,,,,,,,,,
03-12-2022,2,2,data/03-12-2022/0.5% Atto 488_69.5% DOPC_30%DOPS/200 nM Dark ALG2_100 nM Cy3 ALIX Tev Strep,,,,,,,,,,,,
03-12-2022,2,2,data/03-12-2022/0.5% Atto 488_69.5% DOPC_30%DOPS/200 nM Dark ALG2_100 nM Cy3 ALIX Tev Strep_100 nM CHMP2A_100 nM CHMP3_100 nM LD655 Vps4b,,,,,,,,,,,,
03-12-2022,2,2,data/03-12-2022/0.5% Atto 488_69.5% DOPC_30%DOPS/200 nM Dark ALG2_100 nM Cy3 ALIX Tev Strep_100 nM CHMP2A_100 nM CHMP3_100 nM LD655 Vps4b_repeat1,,,,,,,,,,,,
03-12-2022,2,2,data/03-12-2022/0.5% Atto 488_69.5% DOPC_30%DOPS/200 nM Dark ALG2_100 nM Cy3 ALIX Tev Strep_100 nM CHMP2A_100 nM CHMP3_100 nM LD655 Vps4b_repeat2,,,,,,,,,,,,
03-12-2022,2,2,data/03-12-2022/49.5% DOPC_50% DOPS_0.5% Atto/200 nM Atto 488 ALG-2,,,,,,,,,,,,
03-12-2022,2,2,data/03-12-2022/69.5% DOPC_30% DOPS_0.5% Atto/200 nM Atto 488 ALG2,,,,,,,,,,,,
03-14-2022,2,2,data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_1,,,,,,,,,,,,
03-14-2022,2,2,data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_2,,,,,,,,,,,,
03-14-2022,2,2,data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3,,,,,,,,,,,,
03-14-2022,2,2,data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ALG2,,,,,,,,,,,,
03-14-2022,2,2,data/03-14-2022/89.5_ DOPC_10_ DOPS_0.5_ Atto/200 nM Atto 488 ALG2,,,,,,,,,,,,
11-27-2021,2,2,data/11-27-2021/DOPC_DOPS_10__Atto/200 nM ALG2,,,,,,,,,,,,
11-27-2021,2,2,data/11-27-2021/DOPC_DOPS_30__Atto/200 nM ALG2,,,,,,,,,,,,
11-27-2021,2,2,data/11-27-2021/DOPC_DOPS_50__Atto,,,,,,,,,,,,
12-14-2021,2,2,data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2,,,,,,,,,,,,
12-14-2021,2,2,data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2,,,,,,,,,,,,
